exp_id,notebook_path,artifact_paths,has_oof,has_test_pred,has_submission,has_runtime_log,has_config,model_family_guess,public_lb_if_visible_from_filename_or_log,status_candidate_teacher_reject_unknown,reason,next_required_action
v77-original-midboost-dualprobe,birdclef-2026/notebooks/v77-original-midboost-dualprobe/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+dualprobe+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v78-original-agreegate-dualprobe,birdclef-2026/notebooks/v78-original-agreegate-dualprobe/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+dualprobe+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v79-original-supportgate-dualprobe,birdclef-2026/notebooks/v79-original-supportgate-dualprobe/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+dualprobe+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v80-original-rankdiffgate-dualprobe,birdclef-2026/notebooks/v80-original-rankdiffgate-dualprobe/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+dualprobe+rank+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v81-original-diffabsgate-dualprobe,birdclef-2026/notebooks/v81-original-diffabsgate-dualprobe/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+dualprobe+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v82-original-probeplus-dualprobe,birdclef-2026/notebooks/v82-original-probeplus-dualprobe/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+dualprobe+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v83-original-supportband-probeplus,birdclef-2026/notebooks/v83-original-supportband-probeplus/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v84-original-mlpaux-supportband,birdclef-2026/notebooks/v84-original-mlpaux-supportband/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+mlp+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v85-original-eosprivate-overlapgate,birdclef-2026/notebooks/v85-original-eosprivate-overlapgate/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+eos+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v86-original-midsupport-proberescue,birdclef-2026/notebooks/v86-original-midsupport-proberescue/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v87-attributed-nina-eos5-v38plus,birdclef-2026/notebooks/v87-attributed-nina-eos5-v38plus/birdclef-2026-eos-5.ipynb,birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus/bc26-v87-attributed-nina-eos5-v38plus.log;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus/perch_cache;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus/subm_2.csv;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus/subm_5.csv;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus/subm_karnakbayev_power_optimization.csv;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus/submission.csv;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus/submission_protossm.csv;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus/submission_sed.csv;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus/v17_logs.json;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus-v2/bc26-v87-attributed-nina-eos5-v38plus.log;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus-v2/perch_cache;birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus-v2/subm_2.csv,False,True,True,True,True,perch+sed+onnx+eos+distill,see_reports,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v88-attributed-zeyad-eos-parity-t3,birdclef-2026/notebooks/v88-attributed-zeyad-eos-parity-t3/birdclef-2026-eos-parity-inference.ipynb,birdclef-2026/outputs/v88-attributed-zeyad-eos-parity-t3-v1/bc26-v88-attributed-zeyad-eos-parity-t3.log;birdclef-2026/outputs/v88-attributed-zeyad-eos-parity-t3-v1/cache;birdclef-2026/outputs/v88-attributed-zeyad-eos-parity-t3-v1/subm_50.csv;birdclef-2026/outputs/v88-attributed-zeyad-eos-parity-t3-v1/subm_51.csv;birdclef-2026/outputs/v88-attributed-zeyad-eos-parity-t3-v1/subm_52.csv;birdclef-2026/outputs/v88-attributed-zeyad-eos-parity-t3-v1/subm_53.csv;birdclef-2026/outputs/v88-attributed-zeyad-eos-parity-t3-v1/submission.csv;birdclef-2026/outputs/v88-attributed-zeyad-eos-parity-t3-v1/submission_birdnet.csv;birdclef-2026/outputs/v88-attributed-zeyad-eos-parity-t3-v1/submission_protossm.csv;birdclef-2026/outputs/v88-attributed-zeyad-eos-parity-t3-v1/submission_sed.csv,False,True,True,True,True,perch+sed+onnx+birdnet+eos+distill,see_reports,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v89-attributed-alexycactus-perch-cnn,,birdclef-2026/outputs/v89-attributed-alexycactus-perch-cnn-v1/bc26-v89-attributed-alexycactus-perch-cnn.log;birdclef-2026/outputs/v89-attributed-alexycactus-perch-cnn-v1/diagnostics_nb21.json;birdclef-2026/outputs/v89-attributed-alexycactus-perch-cnn-v1/diagnostics_staging_no_test.json;birdclef-2026/outputs/v89-attributed-alexycactus-perch-cnn-v1/per_class_auc_nb21.csv;birdclef-2026/outputs/v89-attributed-alexycactus-perch-cnn-v1/pred_dist_nb21.png;birdclef-2026/outputs/v89-attributed-alexycactus-perch-cnn-v1/submission.csv;birdclef-2026/outputs/v89-attributed-alexycactus-perch-cnn-v1/submission_no_postproc.csv,False,True,True,True,True,perch+onnx,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v9-original,birdclef-2026/notebooks/v9-original/submission.ipynb,,False,False,False,False,True,perch,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v90-attributed-youssef-e1-rare-tail-birdnet,birdclef-2026/notebooks/v90-attributed-youssef-e1-rare-tail-birdnet/bc26-youssef-e1-rare-tail-birdnet.ipynb,birdclef-2026/outputs/v90-attributed-youssef-e1-rare-tail-birdnet-v1/bc26-v90-attributed-youssef-e1-rare-tail-birdnet.log;birdclef-2026/outputs/v90-attributed-youssef-e1-rare-tail-birdnet-v1/cache;birdclef-2026/outputs/v90-attributed-youssef-e1-rare-tail-birdnet-v1/submission.csv;birdclef-2026/outputs/v90-attributed-youssef-e1-rare-tail-birdnet-v1/submission_birdnet.csv;birdclef-2026/outputs/v90-attributed-youssef-e1-rare-tail-birdnet-v1/submission_protossm.csv;birdclef-2026/outputs/v90-attributed-youssef-e1-rare-tail-birdnet-v1/submission_sed.csv,False,True,True,True,True,perch+sed+onnx+birdnet+distill,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v91-attributed-youssef-e1-rare-tail-nobirdnet,birdclef-2026/notebooks/v91-attributed-youssef-e1-rare-tail-nobirdnet/bc26-youssef-e1-rare-tail-birdnet.ipynb,birdclef-2026/outputs/v91-attributed-youssef-e1-rare-tail-nobirdnet-v1/bc26-v91-attributed-youssef-e1-rare-tail-nobirdnet.log;birdclef-2026/outputs/v91-attributed-youssef-e1-rare-tail-nobirdnet-v1/cache;birdclef-2026/outputs/v91-attributed-youssef-e1-rare-tail-nobirdnet-v1/submission.csv;birdclef-2026/outputs/v91-attributed-youssef-e1-rare-tail-nobirdnet-v1/submission_birdnet.csv;birdclef-2026/outputs/v91-attributed-youssef-e1-rare-tail-nobirdnet-v1/submission_protossm.csv;birdclef-2026/outputs/v91-attributed-youssef-e1-rare-tail-nobirdnet-v1/submission_sed.csv,False,True,True,True,True,perch+sed+onnx+birdnet+distill,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v92-attributed-mtoshi-vis-nobirdnet,birdclef-2026/notebooks/v92-attributed-mtoshi-vis-nobirdnet/bc26-mtoshi-vis-may18.ipynb,birdclef-2026/outputs/v92-attributed-mtoshi-vis-nobirdnet-v2/bc26-v92-attributed-mtoshi-vis-nobirdnet.log;birdclef-2026/outputs/v92-attributed-mtoshi-vis-nobirdnet-v2/cache;birdclef-2026/outputs/v92-attributed-mtoshi-vis-nobirdnet-v2/submission.csv;birdclef-2026/outputs/v92-attributed-mtoshi-vis-nobirdnet-v2/submission_birdnet.csv;birdclef-2026/outputs/v92-attributed-mtoshi-vis-nobirdnet-v2/submission_protossm.csv;birdclef-2026/outputs/v92-attributed-mtoshi-vis-nobirdnet-v2/submission_sed.csv;birdclef-2026/outputs/v92-attributed-mtoshi-vis-nobirdnet-v1/bc26-v92-attributed-mtoshi-vis-nobirdnet.log,False,True,True,True,True,perch+sed+onnx+birdnet+distill,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v93-attributed-adkasd-strong-nobirdnet,birdclef-2026/notebooks/v93-attributed-adkasd-strong-nobirdnet/birdclef-2026-sub-v4-5-strong.ipynb,birdclef-2026/outputs/v93-attributed-adkasd-strong-nobirdnet-v1/bc26-v93-attributed-adkasd-strong-nobirdnet.log;birdclef-2026/outputs/v93-attributed-adkasd-strong-nobirdnet-v1/subm_karnakbayev_power_optimization.csv;birdclef-2026/outputs/v93-attributed-adkasd-strong-nobirdnet-v1/submission.csv;birdclef-2026/outputs/v93-attributed-adkasd-strong-nobirdnet-v1/submission_protossm.csv;birdclef-2026/outputs/v93-attributed-adkasd-strong-nobirdnet-v1/submission_sed.csv,False,True,True,True,True,perch+sed+onnx+birdnet+distill,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v94-attributed-karnak-advance-ensemble,birdclef-2026/notebooks/v94-attributed-karnak-advance-ensemble/birdclef-advance-ensemble.ipynb,birdclef-2026/outputs/v94-attributed-karnak-advance-ensemble-v1/bc26-v94-attributed-karnak-advance-ensemble.log;birdclef-2026/outputs/v94-attributed-karnak-advance-ensemble-v1/subm_2.csv;birdclef-2026/outputs/v94-attributed-karnak-advance-ensemble-v1/subm_5.csv;birdclef-2026/outputs/v94-attributed-karnak-advance-ensemble-v1/submission.csv;birdclef-2026/outputs/v94-attributed-karnak-advance-ensemble-v1/submission_protossm.csv;birdclef-2026/outputs/v94-attributed-karnak-advance-ensemble-v1/submission_sed.csv;birdclef-2026/outputs/v94-attributed-karnak-advance-ensemble-v1/v17_logs.json,False,True,True,True,True,perch+sed+onnx+distill,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
